title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
Hill Street Blues,s2693,TV Show,Sin Dato,,United States,1981,TV-14,7,"Crime, Drama","Before ""NYPD Blue"" and ""The Shield"" came ""Hill Street Blues,"" the series that revolutionized the TV cop show by giving television viewers a realistic glimpse into the daily lives of the officers and detectives at an urban police station. Earning 98 Emmy nominations over its seven-year run, ""Hill Street Blues"" was one of the most innovative and critically acclaimed shows of the 1980s.",hulu
The Boonies,s2694,TV Show,Sin Dato,,United States,2016,TV-14,1,"Documentaries, Reality","In the age of technology, the world is getting smaller. To escape, some people go to extreme lengths and places… redefining “off the grid.” Welcome to the Boonies.",hulu
Generation Kill,s2695,TV Show,Sin Dato,,,2008,TV-MA,1,"Action, Adventure, Drama",This seven-part HBO miniseries focuses on the first 40 days of the war in Iraq as seen through the eyes of an elite group of U.S. Marines.,hulu
Salem,s2696,TV Show,Sin Dato,,United States,2014,TV-MA,3,"Drama, Thriller","As the wife of a wealthy but ailing town elder, Mary Sibley (Janet Montgomery) holds the distinction of being the most powerful sorceress in 1692 Salem. Ruthless yet vulnerable, Mary leans on her ageless accomplice Tituba (Ashley Madekwe) to help advance her supernatural agenda – but Mary's world is turned upside down when John Alden (Shane West), her long lost love, finally returns home from years at war and starts asking questions that threaten to expose Mary's darkest secrets.",hulu
Regular Show,s2697,TV Show,Sin Dato,,United States,2010,TV-PG,8,"Cartoons, Comedy, Family","Mordecai – a sarcastic blue jay, and Rigby – a somewhat responsible raccoon, are best friends. They even work together at a park owned by Pops, a big lollipop-headed guy. Which seems normal enough. They’ve got a cranky gumball machine for a boss and they work alongside a Zen-like yeti named Skips. Yep. Everything is as regular as can be.",hulu
The Driver,s2698,TV Show,Sin Dato,,United States,2017,,1,"Documentaries, Lifestyle & Culture",Jeffrey Earnhardt is the grandson of seven-time Nascar Cup Champion Dale Earnhardt and nephew of his generation’s most popular driver Dale Junior. Jeffrey hasn’t depended on his famous last name for opportunity. He is creating his own company and working his way through the ranks like his grandfather did. The 4th generation racer is absolutely committed to “Earning Earnhardt” and has begun his journey to become a champion at the Nascar Cup Series Level. He has started at the bottom of the ranks. And there is only one way to go. Up.,hulu
We Bare Bears,s2699,TV Show,Sin Dato,"Eric Edelstein, Demetri Martin, Bobby Moynihan",United States,2015,TV-Y7,2,"Cartoons, Comedy, Kids","We Bare Bears is a comedy about three bear siblings named Grizzly, Panda and Ice Bear. Each episode follows their awkward attempts at integrating with the human world in the San Francisco Bay Area, whether they're looking for food, trying to make human friends or scheming to become Internet famous. Whatever the situation, it's obvious that being a bear in the civilized, modern world is tough but at least they have each other!",hulu
Difficult People,s2700,TV Show,Sin Dato,,United States,2015,TV-MA,3,"Comedy, Sitcom","Difficult People hails from Julie Klausner who stars alongside Emmy®-nominated Billy on the Street host Billy Eichner. As best friends living in New York City, their typical, irreverent behavior lands them in some very awkward situations.",hulu
Brickleberry,s2703,TV Show,Sin Dato,,United States,2012,TV-MA,3,"Adult Animation, Comedy","Brickleberry is an animated series that follows the misadventures of a motley crew of national park forest rangers. When their fledgling park faces disclosure, a new ranger is enlisted to whip everyone into shape and save the park. The series is executive produced by Daniel Tosh along with show creators Waco O'Guin and Roger Black. In addition to Tosh's helming duties, he's the voice of Malloy, a tiny brown bear.",hulu
Graceland,s2704,TV Show,Sin Dato,,United States,2013,TV-14,3,"Action, Crime, Drama","From the acclaimed creator of White Collar, Jeff Eastin, comes a new one-hour drama about a diverse group of undercover agents from the Drug Enforcement Agency (DEA), Federal Bureau of Investigations (FBI) and U.S. Customs whose worlds collide while forced to live together under the same roof of a seized beachfront mansion in Southern California called ""Graceland."" No matter what agency they’re from, the residents all operate by the house’s unofficial motto: ""When you work for the bureau, your lies are your life.""",hulu
Raising Hope,s2705,TV Show,Sin Dato,,United States,2010,TV-14,4,"Comedy, Sitcom",RAISING HOPE follows the adventures of the lovingly dysfunctional Chance family.,hulu
Bordertown,s2706,TV Show,Sin Dato,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid","Finland, France",2016,TV-14,1,"Adult Animation, Comedy, Sitcom","Bordertown centers on two clans: the Buckwalds and the Gonzalezes. Bud Buckwald (Hank Azaria, The Simpsons) is a married father of three and a Border Patrol agent who is just a tad behind the times and feels slightly threatened by the cultural changes transforming his neighborhood. He lives next door to Ernesto Gonzalez (Nicholas Gonzalez, Sleepy Hollow), an ambitious family man, who has been in the country less than 10 years, but is already doing better than Bud – which, it turns out, is a bit of an issue for Bud.",hulu
The Cleveland Show,s2707,TV Show,Sin Dato,,United States,2009,TV-14,4,"Adult Animation, Black Stories, Comedy","Everyone's favorite soft-spoken neighbor Cleveland Brown moves to his hometown in Virginia with his 14-year old son, Cleveland JR. Many years ago, Cleveland was a high school student madly in love with a beautiful girl named Donna. Much to his dismay, his love went unrequited, and Donna wound up marrying another man. Cleveland once told Donna he would always love her, and if this man ever done her wrong, he'd be there when she called. Well, this man done her wrong.",hulu
Second Chance,s2708,TV Show,Sin Dato,,United States,2016,TV-14,1,"Drama, Science Fiction","What would you do with a second chance? From executive producer/writer Rand Ravich and Emmy Award-winning executive producer Howard Gordon comes SECOND CHANCE, a thrilling new action-drama about a man brought back to life by two scientists playing god in the quest to save one of their own lives. Seventy-five-year-old JIMMY PRITCHARD Philip Baker Hall) is a shell of his former self. A drinker, a womanizer and a father who always put work before family, Pritchard was forced to resign as L.A. County Sheriff for corrupt conduct more than a decade ago. Now, some 15 unkind years later, he is killed when he stumbles upon a robbery at the home of FBI Agent DUVAL PRITCHARD (Tim DeKay), one of his two children. But death is surprisingly short for Jimmy, who is brought back to life by billionaire tech-genius twins MARY GOODWIN (Dilshad Vadsaria) and her brother, OTTO (Adhir Kalyan), founders of a social networking empire. Resurrected as a younger, better version of himself, with physical abilities of which he never dreamed, a re-animated Pritchard (Rob Kazinsky) is given a second chance at life. What will he do with it? Will he try to repair the damage he did to his family? Will he embrace a new sense of purpose or fall prey to old temptations?",hulu
Touch,s2709,TV Show,Aleksandra Szczepanowska,"Aleksandra Szczepanowska, Yang Jun, Yuan Jiangyi",United States,2012,TV-14,2,"Drama, Mystery, Science Fiction","From writer/creator Tim Kring (""Heroes,"" ""Crossing Jordan"") and executive producers Peter Chernin (""Terra Nova"") and Katherine Pope (""Terra Nova"") comes Touch, a preternatural drama in which science and spirituality intersect with the hopeful premise that we are all interconnected, tied in invisible ways to those whose lives we are destined to alter and impact.",hulu
Don't Trust the B---- in Apt 23,s2715,TV Show,Sin Dato,,United States,2012,TV-14,2,"Comedy, Sitcom","After a naive Midwestern girl's big city dreams are dashed her first week in New York, she finds herself living with her worst nightmare in this hilarious, contemporary comedy about a female odd couple who are surrounded by outrageous characters.",hulu
Black-ish en Español,s2716,TV Show,Sin Dato,,,2014,TV-14,2,"Comedy, Latino, Sitcom","Andre ""Dre"" Johnson tiene un gran empleo, una esposa hermosa, Rainbow, cuatro hijos y una casa colonial en los suburbios. Pero ¿el éxito no habrá asimilado demasiado a su familia negra? Con la ayuda de su papá, Dre se propone darle a su familia una identidad cultural que honre su pasado y a la vez mire al futuro.",hulu
Sex&Drugs&Rock&Roll,s2719,TV Show,Sin Dato,,United States,2015,TV-MA,2,"Comedy, Music, Sitcom","Sex&Drugs&Rock&Roll centers on “Johnny Rock” (Denis Leary), lead singer of a legendary early 90’s New York band called The Heathens. Known for living up to their name, the band partied so long and so hard that even Keith Richards thought they needed to slow things down. The Heathens were on the brink of becoming famous for their kickass live shows and the release of their highly anticipated first album. Until they broke up. The same day the album dropped. Because lead guitarist Flash (John Corbett) found Johnny in bed with his wife. So the band became legendary for all the wrong reasons - like self-destructing sooner than any group in rock-n-roll history. 25 years later, the only thing bigger than Johnny’s ego is his prostate. The drugs he really needs now aren’t cocaine and marijuana – they’re Crestor, Cymbalta and Cialis. He’s out of work, out of money and out of show business options. That’s when a massively talented young singer named Gigi (Elizabeth Gillies) shows up - with a burning desire to be famous, a throwback appreciation for The Heathens’ only album, and a stack of cash big enough to bring the whole band back into the studio. Only this time, SHE’S the lead singer and Johnny’s just a behind-the-scenes songwriter. John Ales, Bobby Kelly and Elaine Hendrix round out the rest of this dysfunctional rock and roll family. The race is on to see who gets famous first - and for what reason. An FX Original Series.",hulu
Underground,s2721,TV Show,Arthur H. Nadel,,United States,2016,TV-MA,2,"Drama, History, Thriller","An unflinching story of plantation slaves that band together for the fight of their lives – for their families, their future and their freedom.",hulu
America's Next Top Model,s2722,TV Show,Sin Dato,"Tyra Banks, Nigel Barker, André Leon Talley",United States,2011,TV-PG,22,"Lifestyle & Culture, Reality, Teen","Young women of various backgrounds, shapes and sizes compete to prove that they can make it in the high-stress, high-stakes world of modeling. With mentoring by supermodel Tyra Banks and exposure to prolific fashion-industry gurus, the finalists compete in an accelerated modeling boot camp. Participants learn to master complicated catwalks, fashion photo shoots and perfect publicity skills, all under 24-hour-a-day surveillance of the cameras that chronicle every move.",hulu
DCI Banks,s2724,TV Show,Sin Dato,"Stephen Tompkinson, Andrea Lowe, Caroline Catz",United Kingdom,2010,TV-MA,5,"Crime, Drama, International",Stephen Tompkinson and Andrea Lowe star as Chief Inspector Alan Banks and feisty Detective Sergeant Annie Cabbot in thrilling crime stories set in Yorkshire.,hulu
Prey,s2725,TV Show,Thomas Sieben,"Philip Glenister, Rosie Cavaliero",United Kingdom,2014,TV-MA,2,"Crime, Drama, Horror",Prey is a high-octane drama about men on the run and the hard-working detective tasked with finding them. Detective Sergeant Susan Reinhardt is called to the case to track down the suspect and find the truth.,hulu
The Hitchhiker's Guide to the Galaxy,s2726,TV Show,Sin Dato,"Peter Jones, Simon Jones, David Dixon, Joe Melia",United Kingdom,1981,TV-14,1,"Action, Adventure, Comedy","Based on the best-selling novel by Douglas Adams, this cult series features spectacular visual trickery and a generous helping of zany humour (perhaps from the Restaurant at the Edge of the Universe). Audiences will love it, sci-fi fans or not.",hulu
The Kennedys (2015),s2727,TV Show,Sin Dato,,United Kingdom,2015,TV-PG,1,"Comedy, Drama, International","Multi-generation family sitcom set in the 1970s, loosely based on Emma Kennedy's memoirs.",hulu
Wayward Pines,s2728,TV Show,Sin Dato,,"Canada, United States",2015,TV-14,2,"Crime, Drama, Mystery","A Secret Service agent travels to Wayward Pines, Idaho, in search of two federal agents who have gone missing. Instead of answers, Ethan's investigation only turns up more questions and he soon learns that he may never get out of Wayward Pines alive.",hulu
Boruto: Naruto Next Generations,s2730,TV Show,Sin Dato,,Japan,2017,TV-MA,1,"Action, Adventure, Anime","The life of the shinobi is beginning to change. Boruto Uzumaki, son of Seventh Hokage Naruto Uzumaki, has enrolled in the Ninja Academy to learn the ways of the ninja. Now, as a series of mysterious events unfolds, Boruto’s story is about to begin!",hulu
The Shield,s2731,TV Show,Sin Dato,,United States,2002,TV-MA,7,"Crime, Drama, Mystery","Breaking the conventional formula of the cop genre, THE SHIELD plays out in a tough, morally ambiguous world in which the line between good and bad is crossed every day. It focuses on the tension between a group of corrupt but effective cops led by Detective Vic Mackey, a captain with the burden of bringing them down as well as reducing crime in her district, and a City Councilman out for his own political gain.",hulu
Dimension 404,s2732,TV Show,Sin Dato,,United States,2017,TV-14,1,"Science Fiction, Teen","In the darkest depths of cyberspace, there is another world. A lost dimension, home to wonders unseen, terrors unspeakable, and stories unlike any ever told. Dimension 404 is a science fiction anthology that explores the wonders - and terrors - of our digital age. From outrageous horror comedy to mind-bending action adventure, each episode tells a weird and wild sci-fi tale where the twist ending... is just the beginning. Do not click back. Do not reload. You have reconnected... to Dimension 404.",hulu
Shots Fired,s2734,TV Show,Sin Dato,"Black Jack Johnson, Will Cummings III, Carmelo Giangrande, Jay Davis",United States,2017,TV-14,1,"Black Stories, Crime, Drama",A racially charged shooting in a small town causes social unrest and draws media attention.,hulu
Guilty Crown,s2735,TV Show,Sin Dato,,Japan,2011,TV-14,1,"Action, Adventure, Anime","Japan entered a total state of anarchy after most of the population was infected with a strange and deadly virus. Shu, a teen with a unique reaction to the Apocalypse Virus, joins the struggle against the government's robotic forces and a secret society.",hulu
Psycho-Pass,s2736,TV Show,Sin Dato,,Japan,2012,TV-MA,2,"Action, Adventure, Anime","In the future, detectives work in teams made up of Enforcers and Inspectors. Enforcers take out the bad guys, and Inspectors ensure their partners don't cross the line. Their weapon is the Dominator, a gun that predicts when citizens will turn criminal.",hulu
Seraph of the End: Vampire Reign,s2737,TV Show,Sin Dato,,Japan,2015,TV-14,1,"Action, Adventure, Anime","After a mysterious virus wipes out ninety percent of humanity, vampires emerge, treating mankind like livestock. But 12-year-old Yuichiro Hyakuya successfully escapes the bloodsucking captors, joining an extermination unit dedicated to killing vampires.",hulu
Snow White With the Red Hair,s2738,TV Show,Sin Dato,,Japan,2015,TV-14,2,"Action, Adventure, Anime","Shirayuki is a headstrong young pharmacist with a shock of beautiful apple-red hair. When her mane gets her noticed by a prince who demands she be his concubine, she runs away to a neighboring kingdom, where she befriends a handsome stranger.",hulu
A Certain Magical Index,s2741,TV Show,Sin Dato,,Japan,2008,TV-14,2,"Adventure, Anime","In a world where magic is as real as science, high-school student Kamijo comes to the aid of a young nun named Index. She's on the run from a magic society that covets the massive library of forbidden knowledge stored in her memory.",hulu
Cowboy Bebop,s2742,TV Show,Sin Dato,,Japan,1998,TV-14,1,"Action, Adult Animation, Adventure","Explore the galaxy in this undeniably hip series that inspired a generation - and redefined anime as an indisputable art form. The Bebop crew is just trying to make a buck, and they're the most entertaining gang of bounty hunters in the year 2071.",hulu
D. Gray-man HALLOW,s2743,TV Show,Sin Dato,,Japan,2016,TV-14,1,"Anime, Science Fiction","The Black Order's battle against the evil Millennium Earl and his deadly Akuma continues to rage on. Allen Walker and his comrades must recover lost Innocence while facing the Earl's terrifying army. If they fail, Innocence will be lost forever.",hulu
Overlord,s2744,TV Show,Sin Dato,"Bai Lu, Leon Lai, Alen Fang, Zhai Zi Lu, Xu Mu Chan, Hou Pei Shan",Japan,2015,TV-MA,1,"Action, Anime","When a popular MMORPG is scheduled to be shut down permanently, veteran player Momonga refuses to log out. As NPCs begin to develop personalities and minds of their own he decides to put his skills to use as the game's new overlord.",hulu
Spice and Wolf,s2745,TV Show,Sin Dato,,Japan,2008,TV-MA,2,"Anime, International","A traveling merchant, finds a girl with the ears and tail of a wolf asleep in his cart. She is Holo, a harvest goddess with an untamed beast lurking inside. Armed with his street smarts and her animal instincts, they will journey through the countryside.",hulu
Tenchi Muyo! War on Geminar,s2746,TV Show,Sin Dato,,Japan,2009,TV-MA,1,"Action, Adventure, Anime","From the creators of Tenchi Muyo! Young Kenshi Masaki suddenly finds himself transported to the world of Geminar where he's caught between a beautiful princess, a violent civil war, and a hoard of gorgeous girls who are dying to get their hands on him!",hulu
The Future Diary,s2747,TV Show,Sin Dato,,Japan,2011,TV-MA,1,"Action, Adventure, Anime","One day, Yukiteru discovers that his cell phone ""diary"" can now tell him the events of the future. The problem is, eleven others also have similar diaries, and only one can win this Survival Game. The winner becomes a god. The losers: DEAD END.",hulu
The Heroic Legend of Arslan,s2748,TV Show,Sin Dato,,Japan,2015,TV-14,1,"Action, Adventure, Anime","Arslan, the 14-year-old prince of Pars, lacks the leadership skills befitting a future king. But after his father falls victim to a treacherous plot, Arslan must embark on a journey to reclaim the kingdom and fulfill his destiny as ruler of Pars.",hulu
The Wallflower,s2749,TV Show,Sin Dato,,Japan,2006,TV-MA,1,"Action, Adventure, Anime",Four handsome boys are confronted with a horrifying challenge: transform their benefactor's niece - a paranoid goth girl with a horror movie obsession - into a beautiful lady or start paying rent!,hulu
Tokyo ESP,s2750,TV Show,Sin Dato,,Japan,2014,TV-MA,1,"Action, Adventure, Anime","Rinka is a poor student struggling to support her father. Her world changes after witnessing a flying penguin and a school of fish swimming through the air. When one of the fish passes through Rinka, she suddenly develops extraordinary powers!",hulu
Tokyo Ravens,s2751,TV Show,Sin Dato,,Japan,2013,TV-14,1,"Action, Anime, International","Hautora was born into a family of onmyouji known for their mastery of the occult. Unfortunately, he didn't inherit their magical abilities, so he was doomed to live a normal life. At least, that is, until a girl from his past changes his future!",hulu
Trigun,s2752,TV Show,Sin Dato,,Japan,1998,TV-14,1,"Action, Adventure, Anime","On a desert planet, Vash the Stampede is a wanted gunslinger. He's known for turning towns into rubble, but he's definitely not your typical outlaw. In fact, he's more doofus than desperado, and there's a lot more to Vash than his reputation lets on.",hulu
World Break: Aria of Curse for a Holy Swordsman,s2753,TV Show,Sin Dato,,Japan,2015,TV-MA,1,"Action, Adventure, Anime","Akane Academy is just like any other school... except the students just happen to be reincarnated heroes from a distant past who battled for the fate of the world. Now, monsters are threatening to wreak havoc, and it's up to the students to stop them!",hulu
Yona of the Dawn,s2754,TV Show,Sin Dato,,"Japan, Taiwan",2014,TV-14,1,"Action, Adventure, Anime","Princess Yona intended to tell her father of her love for SuWon, but her life was changed after witnessing SuWon murder her father. Heartbroken, Yona fled the palace with her servant Hak on a quest to gain new allies and protect her beloved people.",hulu
Yu Yu Hakusho,s2755,TV Show,Sin Dato,,Japan,1992,TV-PG,4,"Action, Adventure, Anime","When delinquent Yusuke dies saving someone else, he gets a second shot at life as a Spirit Detective. With his former rival, Kuwabara, and demons Kurama and Hiei, Yusuke takes on the monsters and humans who desire to rule the three realms of reality.",hulu
Mobile Suit Gundam 00,s2757,TV Show,Sin Dato,,Japan,2007,TV-MA,2,"Action, Adventure, Anime","It is 2301, and the Kurdish Republic is fighting against the forces of Azadistan. A number of MSER-04 Anfs go against Workloader and small ground forces, mostly child guerrillas. The battle follows a young boy and his struggle to survive. A man's voice is broadcasted across the battlefield, declaring that they are fighting for God and will destroy all who do not follow tradition.",hulu
Mobile Suit Gundam SEED Remaster,s2758,TV Show,Sin Dato,,Japan,2002,TV-MA,1,"Action, Adventure, Anime","In Cosmic Era (C.E.) 70... The tensions mounted between the Earth Alliance and the ZAFT Forces caused by the 'Bloody Valentine' tragedy have erupted into an all-out war. The Earth Alliance's mobile armor forces and tanks launch...mobile suits are destroyed one after another... It seemed a foregone conclusion that the Earth Alliance, with its superior numbers, would be victorious. But this initial assessment proved to be false. Almost 11 months have passed since the conflict began, with no end in sight.",hulu
Mobile Suit Gundam The 08th MS Team,s2759,TV Show,Sin Dato,,Japan,1996,TV-MA,1,"Anime, International, Science Fiction","Universal Century 0079. The One Year War has raged on for almost nine months. Now, the Federation is ready to strike back with its own mobile suits. Young Shiro Amada is en route to Earth to take command of a ground unit of Gundams fighting in the jungles of Southeast Asia. After being stranded in space with one of the enemy, Shiro is rescued and claims his command. But no sooner does he arrive than his team is given their marching orders. With barely time for introductions, the 08th MS teams heads into battle.",hulu
Mobile Suit Gundam The Origin,s2760,TV Show,Sin Dato,,,2015,TV-MA,1,"Action, Adventure, Anime","What was the tragedy that decided the fates of Char Aznable, the man later nicknamed the “Red Comet” as an ace pilot of the Zeon forces, and his sister Sayla Mass?
The two siblings’ journeys, brought on by the sudden death of their father Zeon Zum Deikun who was a leader of the Spacenoids, are depicted in the four episodes of “Chronicle of Char and Sayla”. This story will be presented in the form of event screenings.
The Zabi family who seize control of Side 3 and lead the Principality of Zeon, the early days of many renowned Zeon ace pilots who later fight in the One Year War, the secrets of mobile suit development, conflicts with the Earth Federation Forces, and the road leading to the outbreak of war – all will be revealed.",hulu
Mobile Suit Gundam Wing,s2761,TV Show,Sin Dato,,"Japan, United States",1995,TV-MA,1,"Anime, International, Science Fiction","The Revolution Has Begun! Mankind has moved into space. Thousands of people live on giant orbiting space colonies called ""Sides."" However, the Earth Government, which rules the colonies, is unjust and cruel. A group of revolutionaires builds five robotic weapons called Gundams and plans to send them to Earth to begin their fight for independence. Piloted by five young men, these of freedom of the colonists with them as they descend to Earth to begin Operation Meteor!",hulu
The Golden Girls,s2762,TV Show,Sin Dato,,United States,1985,TV-PG,7,"Classics, Comedy, Sitcom","The Golden Girls is the story of four older women who share a house in Miami Beach, Florida. Bea Arthur plays Dorothy, a divorced school teacher, with a sardonic wit. Rue McClanahan plays Blanche, a man-hunting Southern Belle. Betty White plays Rose, a very sweet woman who is somewhat spacey. Rounding out the trio is Estelle Getty, playing Dorothy's outspoken mother, Sophia.",hulu
Devious Maids,s2763,TV Show,Sin Dato,,United States,2013,TV-PG,4,Drama,"In ""Devious Maids,"" murder and mayhem collide in the mansions of Beverly Hills' wealthiest and most powerful families.",hulu
24 Legacy,s2764,TV Show,Sin Dato,,United States,2017,TV-14,1,"Action, Crime, Drama","The clock ticks again with 24 LEGACY, the next evolution of the Emmy Award-winning “24.” 24 LEGACY chronicles an adrenaline-fueled race against the clock to stop a devastating terrorist attack on United States soil – in the same real-time format that has propelled this genre-defining series.",hulu
Murder in the First,s2765,TV Show,Sin Dato,,United States,2014,TV-MA,3,"Crime, Drama",Murder in the First centers on homicide detectives Terry English (Taye Diggs) and Hildy Mulligan (Kathleen Robertson) as they investigate two seemingly unrelated murders. The mystery deepens when they find both murders have a common denominator in a Silicon Valley wunderkind (Tom Felton).,hulu
Workaholics,s2766,TV Show,Sin Dato,,United States,2011,TV-14,7,"Comedy, Sitcom","College is over but the party isn’t. Join three best buds as they share a job, a crash pad and a promise to never let work get in the way of a good time – on this raucously original series.",hulu
Wasted,s2767,TV Show,Sin Dato,,United Kingdom,2016,TV-MA,1,"Comedy, International, Sitcom","Fantasy fanatic Morpheus is a dreamer, and his dreams take the form of his hero Sean Bean, who appears in full medieval garb as Morpheus’s spirit guide. With his guide, Morpheus takes on the epic quest of wasting his twenties in a sleepy British village.",hulu
Blue Exorcist Kyoto Saga,s2768,TV Show,Sin Dato,,Japan,2017,TV-14,1,"Action, Adventure, Anime","Assiah, the realm of humans, and Gehenna, the realm of demons. Normally, these two dimensions would never intersect, but having possessed all material substances, the demons are now intruding on the material world. But among the human race, there are those who can confront such demons - the Exorcists. Born the spawn of Satan, Rin Okumura decides to hide his origins, and become an exorcist. He enrolls at the Exorcism Cram School, a training institute for exorcists located on the True Cross Academy grounds. But, his cover is blown during an attack by Amaimon, the King of Earth, and he is revealed to be the son of Satan. Terrified of Satan’s blue flames, his friends start to distance themselves from Rin… It is then that someone steals the Left Eye of the Impure King, sealed away in the deepest part of the academy, and Rin and the others find themselves embroiled in an unexpected crisis…",hulu
JoJo’s Bizarre Adventure,s2769,TV Show,Sin Dato,,Japan,2012,TV-MA,3,"Action, Adventure, Anime","Based on author Hirohiko Araki’s groundbreaking Shonen Jump manga series, JoJo’s Bizarre Adventure follows the multigenerational tale of the heroic Joestar family and their never-ending battle against evil.",hulu
Terraformars,s2770,TV Show,Sin Dato,,Japan,2016,TV-14,2,"Action, Adventure, Anime","In the far future, humanity seeks to resolve Earth’s growing overpopulation problem by terraforming Mars as their second home. Five hundred years later, the United Nations Aeronautics and Space Administration sends out an expedition team to explore this new world. But an unintended side effect of the terraforming process has unleashed a horror no one could ever have imagined: the planet has become infested with Terraformars, man-sized cockroaches that prey on humans. Now humanity must bring together all its scientific resources and power to counter this monstrous threat, or face total extinction.",hulu
Please Like Me,s2771,TV Show,Sin Dato,,Australia,2013,TV-MA,4,"Comedy, Drama, International","Life in your 20’s can be undeniably hard. At least it is for Josh in the critically acclaimed Please Like Me, a comedy that soothes the existential unrest of the under-30 crowd. As Josh and his friends muddle through life, sex gets complicated, relationships wax and wane, friends struggle to see eye to eye, and the dog always steals the show. Simply put, everything is so delightfully awkward.",hulu
Sleepy Hollow,s2772,TV Show,Sin Dato,,United States,2013,TV-14,4,"Adventure, Drama, Mystery","In this modern-day twist on Washington Irving's classic, ICHABOD CRANE is resurrected and pulled two and a half centuries through time to find that the world is on the brink of destruction, forcing him to team up with a contemporary police officer to unravel a mystery that dates back to the founding fathers.",hulu
Chowder,s2773,TV Show,Sin Dato,,"United States, China",2014,TV-Y7,3,"Cartoons, Comedy, Kids","Chowder follows an aspiring young chef named Chowder and his day-to-day adventures as an apprentice in Mung Daal's catering company. Although he means well, Chowder often finds himself in predicaments due to his perpetual appetite and his nature as a scatterbrain. He is also pestered by Panini, the apprentice of Mung's rival Endive, who wants Chowder to be her boyfriend, which he abhors.",hulu
Barbarians Rising,s2775,TV Show,Sin Dato,,United States,2016,TV-14,1,"Action, Adventure, Drama",Barbarians Rising tells the story of the rise and fall of the Roman Empire from the perspective of the barbarian rebel leaders who helped bring it down.,hulu
Desperate Housewives,s2777,TV Show,Sin Dato,,United States,2004,TV-14,8,Drama,"ABC's Desperate Housewives offers a deliciously juicy glimpse into the lives of everyone's favorite housewives. On the surface, the ladies of Wisteria Lane appear to be the picture of suburban America. But underneath lay bigger mysteries - infidelity, deceit, blackmail, and even murder. And with not-so-honest husbands, complicated relationships, family drama and meddling neighbors adding to the turmoil, it's no wonder things aren't always as they seem.",hulu
Horace and Pete,s2778,TV Show,Sin Dato,,United States,2016,TV-MA,1,"Comedy, Drama","Horace and Pete run a small family bar in the heart of Brooklyn, with the help of their Uncle Pete. The bar has always been run by, and passed down to, a Horace and a Pete, cousins or brothers. The bar serves no mixed drinks, only a few types of liquor and one brand of beer, Budweiser, in keeping with their commitment to having an old fashioned, traditional, family-owned bar. Horace, a divorced father of a grown daughter, lives in the apartment above the bar with Pete, who is single. Horace and Pete are battling with extended family members regarding the fate of the bar. Some want to sell, others do not. Various regulars come in and out, and take up their places in booths, or on barstools. The story unfolds over ten episodes, and takes place in the bar, and in the apartment above the bar. Ultimately it is a story of a family and the struggles and laughs that go into running a bar for generations.",hulu
The Powerpuff Girls (Classic),s2779,TV Show,Sin Dato,,"United States, Hong Kong",1998,TV-Y7,6,"Adventure, Cartoons, Kids","The Powerpuff Girls centers on three sugar-coated superheroes, whose missions in life alternate between going to school, fighting crime, winning at hopscotch and saving the world before bedtime. The girls are frequently called upon by the town's childlike and naive mayor to help fight nearby criminals using their powers.",hulu
Scott & Bailey,s2780,TV Show,Sin Dato,"Suranne Jones, Lesley Sharp",United Kingdom,2011,TV-14,5,"Crime, Drama, International","Janet Scott and Rachel Bailey are Detective Constables in a Manchester Major Incident Team. Though dedicated to cracking their challenging cases, Scott and Bailey also have personal dramas to contend with in their lives outside the force.",hulu
Feed the Beast,s2781,TV Show,Sin Dato,,United States,2016,TV-14,1,Drama,AMC's Feed the Beast is the story of two friends on the brink of losing everything. Their pipe dream of opening an upscale restaurant in the Bronx is all they have left to turn their lives around.,hulu
Food Wars!,s2782,TV Show,Sin Dato,,Japan,2015,TV-MA,2,"Anime, Comedy, Drama","Souma is a teenage chef who is always looking for the perfect flavors and combinations in his art, the art of cooking. So when his father suddenly closes down the family diner, his hopes of someday owning fade away. But his dad has bigger plans for him, enrolling him in a cut throat culinary school so Souma can prove his worth. Will he make the cut, or will his pot boil over? Find out in Food wars!",hulu
